 Step;                               Task;                               File;      Line;                 Function;        Time(s);        Time(%);     Memory(GB);      Memory(%);         CPU(%);Comment;
  144;                    Build Chain MDD;               AugmentedNetwork.cpp;       151;            BuildChainMDD;         0.0013;         0.0059;        17.4375;        41.0294;         0.0000;     ;
  145;                    Build Chain MDD;               AugmentedNetwork.cpp;       151;            BuildChainMDD;         0.0016;         0.0073;        17.5000;        41.1765;         0.0000;     ;
  146;                    Build Chain MDD;               AugmentedNetwork.cpp;       151;            BuildChainMDD;         0.0018;         0.0081;        17.5625;        41.3235;         0.0000;     ;
  147;                    Build Chain MDD;               AugmentedNetwork.cpp;       151;            BuildChainMDD;         0.0019;         0.0086;        17.6094;        41.4338;         0.0000;     ;
  148;                    Build Chain MDD;               AugmentedNetwork.cpp;       151;            BuildChainMDD;         0.0019;         0.0088;        17.6719;        41.5809;         0.0000;     ;
  149;                    Build Chain MDD;               AugmentedNetwork.cpp;       151;            BuildChainMDD;         0.0011;         0.0048;        17.6875;        41.6176;         0.0000;     ;
  150;              --->>--- MDD ---<<---;               AugmentedNetwork.cpp;       424;                BuildMDDs;         0.0016;         0.0070;        17.7500;        41.7647;         0.0000;     ;
  151;          --->>--- BBTree ---<<--- ;                         BBTree.cpp;       188;                   BBTree;         0.0001;         0.0004;        17.7500;        41.7647;         0.0000;     ;
  152;                ->>- Lagrange -<<- ;           LagrangianRelaxation.cpp;        14;                 Lagrange;         0.0002;         0.0010;        17.7656;        41.8015;         0.0000;     ;
  153;                CPLEX - Model built;           LagrangianRelaxation.cpp;        71;                 Lagrange;         0.0033;         0.0149;        21.0625;        49.5588;         0.0000;     ;
  154;         CPLEX - Get some variables;           LagrangianRelaxation.cpp;       115;                 Lagrange;         0.0003;         0.0012;        21.9688;        51.6912;         0.0000;     ;
  155;                      Warm Up phase;           LagrangianRelaxation.cpp;       120;                 Lagrange;         0.0000;         0.0000;        21.9688;        51.6912;         0.0000;     ;
